index,node,prompt,class_name,is_leaf,classidx
0,n00021939,a photo of a non-living thing.,non-living thing,0,99999
1,n00004258,a photo of a living thing.,living thing,0,99999
2,n03991062,a photo of a plant pot.,plant pot,1,738
3,n04049303,a photo of a rain barrel.,rain barrel,1,756
4,n04116512,a photo of a rubber pencil eraser.,rubber pencil eraser,1,767
5,n03920288,a photo of a petri dish.,petri dish,1,712
6,n04141327,a photo of a scabbard.,scabbard,1,777
7,n04284002,a photo of a spoon.,spoon,0,99999
8,n04264628,a photo of a keyboard space bar.,keyboard space bar,1,810
9,n06359193,a photo of a web site.,web site,1,916
10,n09229709,a photo of a bubble.,bubble,1,971
11,n02978881,a photo of a cassette.,cassette,1,481
12,n02913152,a photo of a building.,building,0,99999
13,n03908714,a photo of a pencil sharpener.,pencil sharpener,1,710
14,n00007846,a photo of a person.,person,0,99999
15,n03804744,a photo of a nail.,nail,1,677
16,n03467068,a photo of a guillotine.,guillotine,1,583
17,n03739693,a photo of a medical instrument.,medical instrument,0,99999
18,n03100490,a photo of a transport vehicle.,transport vehicle,0,99999
19,dummy103,a photo of a book.,book,0,99999
20,n03065424,a photo of a spiral or coil.,spiral or coil,1,506
21,n03940256,a photo of a pin.,pin,0,99999
22,dummy131,a photo of a cleaning equipment.,cleaning equipment,0,99999
23,dummy660,a photo of a connection.,connection,0,99999
24,n04456115,a photo of a torch.,torch,1,862
25,n07248320,a photo of a book jacket or cover.,book jacket or cover,1,921
26,n03051540,a photo of a clothing (apparel).,clothing (apparel),0,99999
27,n03868863,a photo of a oxygen mask.,oxygen mask,1,691
28,dummy105,a photo of a fabric.,fabric,0,99999
29,n04507155,a photo of a umbrella.,umbrella,1,879
30,n02876657,a photo of a bottle.,bottle,0,99999
31,n03621049,a photo of a kitchen utensil.,kitchen utensil,0,99999
32,n04548362,a photo of a wallet.,wallet,1,893
33,n03843555,a photo of a oil filter.,oil filter,1,686
34,dummy101,a photo of a games.,games,0,99999
35,n04332243,a photo of a strainer.,strainer,1,828
36,dummy111,a photo of a jar.,jar,0,99999
37,n03794056,a photo of a mouse trap.,mouse trap,1,674
38,n03764736,a photo of a milk can.,milk can,1,653
39,n04565375,a photo of a weapon.,weapon,0,99999
40,n04254120,a photo of a soap dispenser.,soap dispenser,1,804
41,n04285146,a photo of a sports equipment.,sports equipment,0,99999
42,n03291819,a photo of a envelope.,envelope,1,549
43,n04371774,a photo of a swing.,swing,1,843
44,n03929660,a photo of a plectrum.,plectrum,1,714
45,n03926148,a photo of a photographic equipment.,photographic equipment,0,99999
46,n00021265,a photo of a food.,food,0,99999
47,n03530642,a photo of a honeycomb.,honeycomb,1,599
48,n07565083,a photo of a menu.,menu,1,922
49,n00015388,a photo of a animal.,animal,0,99999
50,n03950228,a photo of a drink pitcher.,drink pitcher,1,725
51,n03532672,a photo of a hook.,hook,1,600
52,n04579432,a photo of a whistle.,whistle,1,902
53,n07579787,a photo of a plate.,plate,1,923
54,dummy666,a photo of a medical equipment.,medical equipment,0,99999
55,n03837422,a photo of a oar.,oar,0,99999
56,n04493381,a photo of a hot tub.,hot tub,1,876
57,n04100174,a photo of a rod.,rod,0,99999
58,n02747177,a photo of a trash can.,trash can,1,412
59,n04423845,a photo of a thimble.,thimble,1,855
60,n03438257,a photo of a drinking glass.,drinking glass,0,99999
61,n04341686,a photo of a man-made structure.,man-made structure,0,99999
62,n04147495,a photo of a scientific instrument.,scientific instrument,0,99999
