index,node,prompt,class_name,is_leaf,classidx
0,n0000,"a photo of a ancestor class.",ancestor_class,0,99999
1,n0001,"a photo of a alarm clock."",alarm_clock,1,0
2,n0002,"a photo of a backpack.",backpack,1,1
3,n0003,"a photo of a banana.",banana,1,2
4,n0004,"a photo of a band aid.",band_aid,1,3
5,n0005,"a photo of a basket.",basket,1,4
6,n0006,"a photo of a beer bottle.",beer_bottle,1,5
7,n0007,"a photo of a bench.",bench,1,6
8,n0008,"a photo of a bicycle.",bicycle,1,7
9,n0009,"a photo of a binder (closed).",binder_closed,1,8
10,n0010,"a photo of a bottle cap.",bottle_cap,1,9
11,n0011,"a photo of a bread loaf.",bread_loaf,1,10
12,n0012,"a photo of a broom.",broom,1,11
13,n0013,"a photo of a bucket.",bucket,1,12
14,n0014,"a photo of a butcher's knife.",butchers_knife,1,13
15,n0015,"a photo of a can opener.",can_opener,1,14     
16,n0016,"a photo of a candle.",candle,1,15
17,n0017,"a photo of a cellphone.",cellphone,1,16
18,n0018,"a photo of a chair.",chair,1,17
19,n0019,"a photo of a clothes hamper.",clothes_hamper,1,18
20,n0020,"a photo of a coffee/french press.",coffee_french_press,1,19
21,n0021,"a photo of a combination lock.",combination_lock,1,20
22,n0022,"a photo of a computer mouse.",computer_mouse,1,21  
23,n0023,"a photo of a desk lamp.",desk_lamp,1,22
24,n0024,"a photo of a doormat.",doormat,1,23
25,n0025,"a photo of a dress.",dress,1,24
26,n0026,"a photo of a dress shoe (men).",dress_shoe_men,1,25
27,n0027,"a photo of a drill.",drill,1,26
28,n0028,"a photo of a drinking cup.",drinking_cup,1,27
29,n0029,"a photo of a drying rack for plates.",drying_rack_for_dishes,1,28
30,n0030,"a photo of a envelope.",envelope,1,29
31,n0031,"a photo of a fan.",fan,1,30
32,n0032,"a photo of a frying pan.",frying_pan,1,31
33,n0033,"a photo of a bath towel.",full_sized_towel,1,32
34,n0034,"a photo of a hair dryer.",hair_dryer,1,33
35,n0035,"a photo of a hammer.",hammer,1,34
36,n0036,"a photo of a dishrag or hand towel.",hand_towel_or_rag,1,35
37,n0037,"a photo of a helmet.",helmet,1,36
38,n0038,"a photo of a iron (for clothes).",iron_for_clothes,1,37
39,n0039,"a photo of a jeans.",jeans,1,38
40,n0040,"a photo of a keyboard.",keyboard,1,39
41,n0041,"a photo of a ladle.",ladle,1,40
42,n0042,"a photo of a lampshade.",lampshade,1,41
43,n0043,"a photo of a laptop (open).",laptop_open,1,42
44,n0044,"a photo of a lemon.",lemon,1,43
45,n0045,"a photo of a letter opener.",letter_opener,1,44
46,n0046,"a photo of a lighter.",lighter,1,45
47,n0047,"a photo of a lipstick.",lipstick,1,46
48,n0048,"a photo of a match.",match,1,47
49,n0049,"a photo of a measuring cup.",measuring_cup,1,48
50,n0050,"a photo of a microwave.",microwave,1,49
51,n0051,"a photo of a mixing / salad bowl.",mixing_salad_bowl,1,50
52,n0052,"a photo of a monitor.",monitor,1,51
53,n0053,"a photo of a mug.",mug,1,52
54,n0054,"a photo of a nail (fastener).",nail_fastener,1,53
55,n0055,"a photo of a necklace.",necklace,1,54
56,n0056,"a photo of a orange.",orange,1,55
57,n0057,"a photo of a padlock.",padlock,1,56
58,n0058,"a photo of a paintbrush.",paintbrush,1,57
