index,node,prompt,class_name,is_leaf,classidx
359,n01440764,a photo of a tench.,tench,1,0
680,n01443537,a photo of a goldfish.,goldfish,1,1
1072,n01484850,a photo of a great white shark.,great white shark,1,2
901,n01491361,a photo of a tiger shark.,tiger shark,1,3
970,n01494475,a photo of a hammerhead shark.,hammerhead shark,1,4
829,n01496331,a photo of a electric ray.,electric ray,1,5
710,n01498041,a photo of a stingray.,stingray,1,6
534,n01514668,a photo of a rooster bird.,rooster bird,1,7
659,n01514859,a photo of a hen bird.,hen bird,1,8
628,n01518878,a photo of a ostrich.,ostrich,1,9
382,n01530575,a photo of a brambling.,brambling,1,10
484,n01531178,a photo of a goldfinch.,goldfinch,1,11
820,n01532829,a photo of a house finch.,house finch,1,12
555,n01534433,a photo of a junco or snowbird.,junco or snowbird,1,13
979,n01537544,a photo of a indigo bunting.,indigo bunting,1,14
314,n01558993,a photo of a American robin.,American robin,1,15
383,n01560419,a photo of a bulbul.,bulbul,1,16
589,n01580077,a photo of a jay.,jay,1,17
620,n01582220,a photo of a magpie.,magpie,1,18
617,n01592084,a photo of a chickadee.,chickadee,1,19
375,n01601694,a photo of a American Dipper.,American Dipper,1,20
1021,n01608432,a photo of a kite bird.,kite bird,1,21
921,n01614925,a photo of a American bald eagle.,American bald eagle,1,22
720,n01616318,a photo of a vulture.,vulture,1,23
924,n01622779,a photo of a great grey owl.,great grey owl,1,24
638,n01629819,a photo of a fire salamander.,fire salamander,1,25
523,n01630670,a photo of a smooth newt.,smooth newt,1,26
397,n01631663,a photo of a newt.,newt,1,27
539,n01632458,a photo of a spotted salamander.,spotted salamander,1,28
339,n01632777,a photo of a axolotl.,axolotl,1,29
437,n01641577,a photo of a American bullfrog.,American bullfrog,1,30
541,n01644373,a photo of a tree frog.,tree frog,1,31
691,n01644900,a photo of a tailed frog.,tailed frog,1,32
803,n01664065,a photo of a loggerhead sea turtle.,loggerhead sea turtle,1,33
890,n01665541,a photo of a leatherback sea turtle.,leatherback sea turtle,1,34
342,n01667114,a photo of a mud turtle.,mud turtle,1,35
554,n01667778,a photo of a terrapin turtle.,terrapin turtle,1,36
590,n01669191,a photo of a box turtle.,box turtle,1,37
415,n01675722,a photo of a banded gecko.,banded gecko,1,38
1001,n01677366,a photo of a green iguana.,green iguana,1,39
736,n01682714,a photo of a Carolina anole.,Carolina anole,1,40
494,n01685808,a photo of a desert grassland whiptail lizard.,desert grassland whiptail lizard,1,41
315,n01687978,a photo of a agama.,agama,1,42
648,n01688243,a photo of a frilled-necked lizard.,frilled-necked lizard,1,43
695,n01689811,a photo of a alligator lizard.,alligator lizard,1,44
701,n01692333,a photo of a Gila monster.,Gila monster,1,45
579,n01693334,a photo of a European green lizard.,European green lizard,1,46
505,n01694178,a photo of a chameleon.,chameleon,1,47
329,n01695060,a photo of a Komodo dragon.,Komodo dragon,1,48
241,n01697457,a photo of a African Nile crocodile.,African Nile crocodile,1,49
87,n01698640,a photo of a American alligator.,American alligator,1,50
252,n01704323,a photo of a triceratops dinosaur.,triceratops dinosaur,1,51
684,n01728572,a photo of a Carphophis or worm colubrid snake.,Carphophis or worm colubrid snake,1,52
584,n01728920,a photo of a ring-necked snake or ringneck colubrid snake.,ring-necked snake or ringneck colubrid snake,1,53
574,n01729322,a photo of a eastern hog-nosed snake.,eastern hog-nosed snake,1,54
546,n01729977,a photo of a smooth green snake.,smooth green snake,1,55
663,n01734418,a photo of a kingsnake or chain snake.,kingsnake or chain snake,1,56
634,n01735189,a photo of a garter snake.,garter snake,1,57
637,n01737021,a photo of a water snake or Nerodia snake.,water snake or Nerodia snake,1,58
345,n01739381,a photo of a vine snake or whip snake.,vine snake or whip snake,1,59
379,n01740131,a photo of a night snake or Hypsiglena or rear-fanged snake.,night snake or Hypsiglena or rear-fanged snake,1,60
545,n01742172,a photo of a boa constrictor.,boa constrictor,1,61
393,n01744401,a photo of a African rock python.,African rock python,1,62
469,n01748264,a photo of a Indian cobra.,Indian cobra,1,63
307,n01749939,a photo of a green mamba.,green mamba,1,64
493,n01751748,a photo of a sea snake.,sea snake,1,65
381,n01753488,a photo of a Saharan horned viper.,Saharan horned viper,1,66
1122,n01755581,a photo of a eastern diamondback rattlesnake.,eastern diamondback rattlesnake,1,67
1153,n01756291,a photo of a sidewinder rattlesnake.,sidewinder rattlesnake,1,68
268,n01768244,a photo of a trilobite.,trilobite,1,69
627,n01770081,a photo of a harvestman.,harvestman,1,70
632,n01770393,a photo of a scorpion.,scorpion,1,71
1070,n01773157,a photo of a yellow garden spider.,yellow garden spider,1,72
881,n01773549,a photo of a barn spider.,barn spider,1,73
981,n01773797,a photo of a European garden spider.,European garden spider,1,74
1050,n01774384,a photo of a southern black widow.,southern black widow,1,75
751,n01774750,a photo of a tarantula.,tarantula,1,76
735,n01775062,a photo of a wolf spider.,wolf spider,1,77
401,n01776313,a photo of a tick.,tick,1,78
30,n01784675,a photo of a centipede.,centipede,1,79
712,n01795545,a photo of a black grouse.,black grouse,1,80
852,n01796340,a photo of a ptarmigan.,ptarmigan,1,81
950,n01797886,a photo of a ruffed grouse or partridge.,ruffed grouse or partridge,1,82
951,n01798484,a photo of a prairie grouse chicken.,prairie grouse chicken,1,83
530,n01806143,a photo of a peafowl.,peafowl,1,84
442,n01806567,a photo of a quail.,quail,1,85
411,n01807496,a photo of a partridge.,partridge,1,86
966,n01817953,a photo of a African grey parrot.,African grey parrot,1,87
972,n01818515,a photo of a macaw.,macaw,1,88
743,n01819313,a photo of a sulphur-crested cockatoo.,sulphur-crested cockatoo,1,89
903,n01820546,a photo of a lorikeet.,lorikeet,1,90
1060,n01824575,a photo of a coucal.,coucal,1,91
480,n01828970,a photo of a bee eater.,bee eater,1,92
578,n01829413,a photo of a hornbill.,hornbill,1,93
633,n01833805,a photo of a hummingbird.,hummingbird,1,94
512,n01843065,a photo of a jacamar.,jacamar,1,95
658,n01843383,a photo of a toucan.,toucan,1,96
1062,n01847000,a photo of a drake duck.,drake duck,1,97
1011,n01855032,a photo of a red-breasted merganser.,red-breasted merganser,1,98
404,n01855672,a photo of a goose.,goose,1,99
463,n01860187,a photo of a black swan.,black swan,1,100
32,n01871265,a photo of a tusker.,tusker,1,101
58,n01872401,a photo of a echidna or spiny anteater.,echidna or spiny anteater,1,102
28,n01873310,a photo of a duck-billed platypus.,duck-billed platypus,1,103
635,n01877812,a photo of a wallaby brush kangaroo.,wallaby brush kangaroo,1,104
949,n01882714,a photo of a koala bear.,koala bear,1,105
474,n01883070,a photo of a wombat.,wombat,1,106
220,n01910747,a photo of a jellyfish.,jellyfish,1,107
133,n01914609,a photo of a sea anemone.,sea anemone,1,108
22,n01917289,a photo of a brain coral.,brain coral,1,109
229,n01924916,a photo of a flatworm or platyhelminth.,flatworm or platyhelminth,1,110
208,n01930112,a photo of a nematode.,nematode,1,111
137,n01943899,a photo of a conch.,conch,1,112
253,n01944390,a photo of a snail.,snail,1,113
76,n01945685,a photo of a slug.,slug,1,114
187,n01950731,a photo of a sea slug.,sea slug,1,115
101,n01955084,a photo of a chiton.,chiton,1,116
206,n01968897,a photo of a chambered nautilus.,chambered nautilus,1,117
854,n01978287,a photo of a Dungeness crab.,Dungeness crab,1,118
876,n01978455,a photo of a rock crab.,rock crab,1,119
1043,n01980166,a photo of a fiddler crab or calling crab.,fiddler crab or calling crab,1,120
853,n01981276,a photo of a Alaskan red king crab.,Alaskan red king crab,1,121
894,n01983481,a photo of a American lobster.,American lobster,1,122
906,n01984695,a photo of a spiny rock lobster or crawfish.,spiny rock lobster or crawfish,1,123
323,n01985128,a photo of a crayfish or crawfish.,crayfish or crawfish,1,124
475,n01986214,a photo of a hermit crab or shell crab.,hermit crab or shell crab,1,125
312,n01990800,a photo of a isopod.,isopod,1,126
791,n02002556,a photo of a white stork.,white stork,1,127
1022,n02002724,a photo of a black stork.,black stork,1,128
387,n02006656,a photo of a spoonbill.,spoonbill,1,129
622,n02007558,a photo of a flamingo.,flamingo,1,130
750,n02009229,a photo of a little blue heron.,little blue heron,1,131
925,n02009912,a photo of a American great white egret.,American great white egret,1,132
815,n02011460,a photo of a bittern bird.,bittern bird,1,133
595,n02012849,a photo of a crane bird.,crane bird,1,134
544,n02013706,a photo of a limpkin.,limpkin,1,135
497,n02017213,a photo of a common European gallinule bird.,common European gallinule bird,1,136
668,n02018207,a photo of a American coot.,American coot,1,137
402,n02018795,a photo of a bustard.,bustard,1,138
867,n02025239,a photo of a ruddy turnstone.,ruddy turnstone,1,139
1110,n02027492,a photo of a red-backed sandpiper dunlin.,red-backed sandpiper dunlin,1,140
1088,n02028035,a photo of a common redshank wading bird.,common redshank wading bird,1,141
980,n02033041,a photo of a dowitcher.,dowitcher,1,142
686,n02037110,a photo of a oystercatcher wading bird.,oystercatcher wading bird,1,143
495,n02051845,a photo of a pelican.,pelican,1,144
456,n02056570,a photo of a king penguin.,king penguin,1,145
338,n02058221,a photo of a albatross.,albatross,1,146
718,n02066245,a photo of a grey whale or gray whale.,grey whale or gray whale,1,147
895,n02071294,a photo of a killer whale or orca.,killer whale or orca,1,148
366,n02074367,a photo of a dugong or sea cow.,dugong or sea cow,1,149
626,n02077923,a photo of a sea lion.,sea lion,1,150
1013,n02085620,a photo of a Chihuahua.,Chihuahua,1,151
911,n02085782,a photo of a Japanese Chin Spaniel.,Japanese Chin Spaniel,1,152
940,n02085936,a photo of a Maltese.,Maltese,1,153
1040,n02086079,a photo of a Pekingese.,Pekingese,1,154
746,n02086240,a photo of a Shih-Tzu.,Shih-Tzu,1,155
731,n02086646,a photo of a King Charles Spaniel.,King Charles Spaniel,1,156
933,n02086910,a photo of a Papillon Continental Toy Spaniel.,Papillon Continental Toy Spaniel,1,157
870,n02087046,a photo of a Toy Terrier.,Toy Terrier,1,158
1007,n02087394,a photo of a Rhodesian Ridgeback.,Rhodesian Ridgeback,1,159
784,n02088094,a photo of a Afghan Hound.,Afghan Hound,1,160
898,n02088238,a photo of a Basset Hound.,Basset Hound,1,161
899,n02088364,a photo of a Beagle.,Beagle,1,162
769,n02088466,a photo of a Bloodhound.,Bloodhound,1,163
1004,n02088632,a photo of a Bluetick Coonhound.,Bluetick Coonhound,1,164
775,n02089078,a photo of a Black-and-tan Coonhound.,Black-and-tan Coonhound,1,165
767,n02089867,a photo of a Treeing Walker Coonhound.,Treeing Walker Coonhound,1,166
777,n02089973,a photo of a English Foxhound.,English Foxhound,1,167
922,n02090379,a photo of a Redbone Coonhound.,Redbone Coonhound,1,168
888,n02090622,a photo of a borzoi Russian hunting Wolfhound.,borzoi Russian hunting Wolfhound,1,169
807,n02090721,a photo of a Irish Wolfhound.,Irish Wolfhound,1,170
739,n02091032,a photo of a Italian Greyhound.,Italian Greyhound,1,171
834,n02091134,a photo of a Whippet Dog.,Whippet Dog,1,172
1030,n02091244,a photo of a Ibizan Houndor Ibizan Podenco.,Ibizan Houndor Ibizan Podenco,1,173
910,n02091467,a photo of a Norwegian Elkhound.,Norwegian Elkhound,1,174
780,n02091635,a photo of a Otterhound.,Otterhound,1,175
1064,n02091831,a photo of a Saluki.,Saluki,1,176
877,n02092002,a photo of a Scottish Deerhound.,Scottish Deerhound,1,177
1075,n02092339,a photo of a Weimaraner Hound.,Weimaraner Hound,1,178
716,n02093256,a photo of a Staffordshire Bull Terrier.,Staffordshire Bull Terrier,1,179
