index,node,prompt,class_name,is_leaf,classidx
0,n00021939,a photo of a non-living thing.,non-living thing,0,99999
1,n00004258,a photo of a living thing.,living thing,0,99999
2,n02913152,a photo of a building.,building,0,99999
3,n00007846,a photo of a person or human being.,person or human being,0,99999
4,n00015388,a photo of a animal.,animal,0,99999
5,n03100490,a photo of a transport vehicle.,transport vehicle,0,99999
6,n12992868,a photo of a fungus.,fungus,0,99999
7,n09287968,a photo of a geological formation a body of rock.,geological formation a body of rock,0,99999
8,n00017222,a photo of a plant life.,plant life,0,99999
9,n03733131,a photo of a maypole.,maypole,1,645
10,n03076708,a photo of a object or item.,object or item,0,99999
11,n09229709,a photo of a bubble.,bubble,1,971
12,n02808440,a photo of a bathtub.,bathtub,1,435
13,n04235860,a photo of a sleeping bag.,sleeping bag,1,797
14,n01861778,a photo of a mammal.,mammal,0,99999
15,n03888257,a photo of a parachute.,parachute,1,701
16,n04548362,a photo of a wallet storage.,wallet storage,1,893
17,n02965783,a photo of a car mirror.,car mirror,1,475
18,n02909870,a photo of a bucket.,bucket,1,463
19,n03843555,a photo of a oil filter.,oil filter,1,686
20,n03804744,a photo of a metal nail.,metal nail,1,677
21,n07802026,a photo of a hay fodder.,hay fodder,1,958
22,n03627232,a photo of a rope knot.,rope knot,1,616
23,n03697007,a photo of a lumbermill or sawmill.,lumbermill or sawmill,1,634
24,n03489162,a photo of a hand tool.,hand tool,0,99999
25,n04116512,a photo of a rubber pencil eraser.,rubber pencil eraser,1,767
26,n04044716,a photo of a radio telescope.,radio telescope,1,755
27,n04423845,a photo of a sewing thimble.,sewing thimble,1,855
28,n02317335,a photo of a starfish.,starfish,1,327
29,n04153751,a photo of a screw.,screw,1,783
30,n03776460,a photo of a mobile home.,mobile home,1,660
31,n03291819,a photo of a envelope.,envelope,1,549
32,n03953416,a photo of a place of worship or house of prayer.,place of worship or house of prayer,0,99999
33,n10148035,a photo of a groom or bridegroom.,groom or bridegroom,1,982
34,n00021265,a photo of a food.,food,0,99999
35,n04576211,a photo of a wheeled vehicle.,wheeled vehicle,0,99999
36,n02666196,a photo of a abacus.,abacus,1,398
37,n04272054,a photo of a spectacles or glasses.,spectacles or glasses,0,99999
38,n02978881,a photo of a cassette.,cassette,1,481
39,n03498962,a photo of a hatchet.,hatchet,1,596
40,n04235291,a photo of a sled or sledge or sleigh.,sled or sledge or sleigh,0,99999
41,n12985857,a photo of a coral fungus.,coral fungus,1,991
42,n03929660,a photo of a plectrum.,plectrum,1,714
43,dummy131,a photo of a cleaning equipment.,cleaning equipment,0,99999
44,n03278248,a photo of a electronic appliance.,electronic appliance,0,99999
45,n02841315,a photo of a binoculars or field glasses.,binoculars or field glasses,1,447
46,n02843684,a photo of a birdhouse.,birdhouse,1,448
47,n09399592,a photo of a promontory or headland a geological formation.,promontory or headland a geological formation,1,976
48,n04562935,a photo of a water tower building.,water tower building,1,900
49,n02814860,a photo of a beacon or lighthouse.,beacon or lighthouse,1,437
50,n03216828,a photo of a dock or docking facility.,dock or docking facility,1,536
51,n04347754,a photo of a submarine.,submarine,1,833
52,n04285146,a photo of a sports equipment.,sports equipment,0,99999
53,n03976657,a photo of a pole.,pole,1,733
54,n03661043,a photo of a library.,library,1,624
55,n06785654,a photo of a crossword puzzle.,crossword puzzle,1,918
56,n03873416,a photo of a paddle  oar.,paddle  oar,1,693
57,n03527444,a photo of a gun holster.,gun holster,1,597
