node,prompt,classname,level,classidx,isleaf
n00004258,a bad photo of  a living thing.,living thing,0,999999,0
n00021939,a bad photo of  a non-living thing.,non-living thing,0,999999,0
n00015388,a bad photo of  a animal.,animal,1,999999,0
dummy65,a bad photo of  a person.,person,1,999999,0
dummy21,a bad photo of  a fungus.,fungus,1,999999,0
n00017222,a bad photo of  a plant.,plant,1,999999,0
n03051540,a bad photo of  a apparel.,apparel,1,999999,0
n00021265,a bad photo of  a food.,food,1,999999,0
n03100490,a bad photo of  a conveyance.,conveyance,1,999999,0
dummy63,a bad photo of  a paraphernalia.,paraphernalia,1,999999,0
n03405265,a bad photo of  a furnishing.,furnishing,1,999999,0
dummy44,a bad photo of  a structure.,structure,1,999999,0
n01767661,a bad photo of  a arthropod.,arthropod,2,999999,0
n01940736,a bad photo of  a mollusk.,mollusk,2,999999,0
n01503061,a bad photo of  a bird.,bird,2,999999,0
n01909422,a bad photo of  a coelenterate.,coelenterate,2,999999,0
n01861778,a bad photo of  a mammal.,mammal,2,999999,0
n02512053,a bad photo of  a fish.,fish,2,999999,0
n02316707,a bad photo of  a echinoderm.,echinoderm,2,999999,0
n01922303,a bad photo of  a worm.,worm,2,999999,0
n01661091,a bad photo of  a reptile.,reptile,2,999999,0
n01627424,a bad photo of  a amphibian.,amphibian,2,999999,0
dummy66,a bad photo of  a person.,person,2,999999,0
n12992868,a bad photo of  a fungus.,fungus,2,999999,0
n13083586,a bad photo of  a vascular plant.,vascular plant,2,999999,0
n02671780,a bad photo of  a accessory.,accessory,2,999999,0
dummy32,a bad photo of  a garment.,garment,2,999999,0
n04447443,a bad photo of  a toiletry.,toiletry,2,999999,0
n07705711,a bad photo of  a produce.,produce,2,999999,0
n07570720,a bad photo of  a cooked food.,cooked food,2,999999,0
n07881800,a bad photo of  a beverage.,beverage,2,999999,0
dummy54,a bad photo of  a sled.,sled,2,999999,0
n03125870,a bad photo of  a craft.,craft,2,999999,0
n04576211,a bad photo of  a wheeled vehicle.,wheeled vehicle,2,999999,0
n02729837,a bad photo of  a appliance.,appliance,2,999999,0
n03294048,a bad photo of  a equipment.,equipment,2,999999,0
n03574816,a bad photo of  a instrument.,instrument,2,999999,0
dummy38,a bad photo of  a soft furnishings.,soft furnishings,2,999999,0
n03405725,a bad photo of  a furniture.,furniture,2,999999,0
n04341686,a bad photo of  a man-made structure.,man-made structure,2,999999,0
n09287968,a bad photo of  a geological formation.,geological formation,2,999999,0
n02159955,a bad photo of  a insect.,insect,3,999999,0
n01974773,a bad photo of  a crustacean.,crustacean,3,999999,0
n01769347,a bad photo of  a arachnid.,arachnid,3,999999,0
n01942177,a bad photo of  a gastropod.,gastropod,3,999999,0
n01825930,a bad photo of  a coraciiform bird.,coraciiform bird,3,999999,0
n01604330,a bad photo of  a bird of prey.,bird of prey,3,999999,0
n01838038,a bad photo of  a piciform bird.,piciform bird,3,999999,0
n01844917,a bad photo of  a aquatic bird.,aquatic bird,3,999999,0
n01524359,a bad photo of  a passerine.,passerine,3,999999,0
n01789386,a bad photo of  a gallinaceous bird.,gallinaceous bird,3,999999,0
dummy6,a bad photo of  a dummy6.,dummy6,3,999999,0
n01914163,a bad photo of  a anthozoan.,anthozoan,3,999999,0
n02075296,a bad photo of  a carnivore.,carnivore,3,999999,0
n02329401,a bad photo of  a rodent.,rodent,3,999999,0
n01874434,a bad photo of  a marsupial.,marsupial,3,999999,0
n01871875,a bad photo of  a monotreme.,monotreme,3,999999,0
n02453611,a bad photo of  a edentate.,edentate,3,999999,0
n02370806,a bad photo of  a ungulate.,ungulate,3,999999,0
n02323449,a bad photo of  a lagomorph.,lagomorph,3,999999,0
n02503127,a bad photo of  a proboscidean.,proboscidean,3,999999,0
n02062017,a bad photo of  a aquatic mammal.,aquatic mammal,3,999999,0
n02469914,a bad photo of  a primate.,primate,3,999999,0
n02514825,a bad photo of  a bony fish.,bony fish,3,999999,0
n01480516,a bad photo of  a cartilaginous fish.,cartilaginous fish,3,999999,0
dummy9,a bad photo of  a serpentes.,serpentes,3,999999,0
n01696633,a bad photo of  a crocodilian reptile.,crocodilian reptile,3,999999,0
n01662622,a bad photo of  a chelonian.,chelonian,3,999999,0
n01674216,a bad photo of  a saurian.,saurian,3,999999,0
dummy7,a bad photo of  a dummy7.,dummy7,3,999999,0
dummy8,a bad photo of  a dummy8.,dummy8,3,999999,0
n00007846,a bad photo of  a person.,person,3,999999,0
n12997654,a bad photo of  a basidiomycete.,basidiomycete,3,999999,0
n11669921,a bad photo of  a flower.,flower,3,999999,0
n03816005,a bad photo of  a neckwear.,neckwear,3,999999,0
n03381126,a bad photo of  a footwear.,footwear,3,999999,0
dummy39,a bad photo of  a dummy39.,dummy39,3,999999,0
n03502509,a bad photo of  a headdress.,headdress,3,999999,0
dummy52,a bad photo of  a bag.,bag,3,999999,0
dummy35,a bad photo of  a armor.,armor,3,999999,0
dummy34,a bad photo of  a facial accessories.,facial accessories,3,999999,0
n03419014,a bad photo of  a garment.,garment,3,999999,0
n03113152,a bad photo of  a cosmetic.,cosmetic,3,999999,0
n13134947,a bad photo of  a fruit.,fruit,3,999999,0
n07707451,a bad photo of  a vegetable.,vegetable,3,999999,0
n07557434,a bad photo of  a dish.,dish,3,999999,0
n07609840,a bad photo of  a dessert.,dessert,3,999999,0
n01768244,a bad photo of  a trilobite.,trilobite,3,69,1
n07810907,a bad photo of  a condiment.,condiment,3,999999,0
n07622061,a bad photo of  a baked goods.,baked goods,3,999999,0
n07884567,a bad photo of  a alcohol.,alcohol,3,999999,0
n04235291,a bad photo of  a sled.,sled,3,999999,0
n02686568,a bad photo of  a aircraft.,aircraft,3,999999,0
n04530566,a bad photo of  a vessel.,vessel,3,999999,0
n04464852,a bad photo of  a tracked vehicle.,tracked vehicle,3,999999,0
dummy30,a bad photo of  a cycles.,cycles,3,999999,0
n01784675,a bad photo of  a centipede.,centipede,3,79,1
n04468005,a bad photo of  a train.,train,3,999999,0
n02970849,a bad photo of  a cart.,cart,3,999999,0
n03791235,a bad photo of  a motor vehicle.,motor vehicle,3,999999,0
n03528263,a bad photo of  a home appliance.,home appliance,3,999999,0
n03926148,a bad photo of  a photographic equipment.,photographic equipment,3,999999,0
n04285146,a bad photo of  a sports equipment.,sports equipment,3,999999,0
n03278248,a bad photo of  a electronic equipment.,electronic equipment,3,999999,0
n04451818,a bad photo of  a tool.,tool,3,999999,0
n03621049,a bad photo of  a kitchen utensil.,kitchen utensil,3,999999,0
n04381994,a bad photo of  a tableware.,tableware,3,999999,0
n04147495,a bad photo of  a scientific instrument.,scientific instrument,3,999999,0
n03739693,a bad photo of  a medical instrument.,medical instrument,3,999999,0
n04565375,a bad photo of  a weapon.,weapon,3,999999,0
n03733925,a bad photo of  a measuring instrument.,measuring instrument,3,999999,0
n03800933,a bad photo of  a musical instrument.,musical instrument,3,999999,0
n03932670,a bad photo of  a piece of cloth.,piece of cloth,3,999999,0
n03636649,a bad photo of  a lamp.,lamp,3,999999,0
dummy56,a bad photo of  a dummy56.,dummy56,3,999999,0
n03366823,a bad photo of  a floor cover.,floor cover,3,999999,0
n04161981,a bad photo of  a seat.,seat,3,999999,0
n04151581,a bad photo of  a screen.,screen,3,999999,0
n04379243,a bad photo of  a table.,table,3,999999,0
n04549122,a bad photo of  a wall unit.,wall unit,3,999999,0
n02821943,a bad photo of  a bedroom furniture.,bedroom furniture,3,999999,0
n02796623,a bad photo of  a barrier.,barrier,3,999999,0
n02735688,a bad photo of  a area.,area,3,999999,0
dummy73,a bad photo of  a dummy73.,dummy73,3,999999,0
dummy78,a bad photo of  a dummy78.,dummy78,3,999999,0
n01955084,a bad photo of  a chiton.,chiton,3,116,1
dummy72,a bad photo of  a dummy72.,dummy72,3,999999,0
n02913152,a bad photo of  a building.,building,3,999999,0
dummy77,a bad photo of  a dummy77.,dummy77,3,999999,0
n09359803,a bad photo of  a mountain.,mountain,3,999999,0
n09433442,a bad photo of  a shore.,shore,3,999999,0
n01440764,a bad photo of  a tench.,tench,4,0,1
n01443537,a bad photo of  a goldfish.,goldfish,4,1,1
n01484850,a bad photo of  a great white shark.,great white shark,4,2,1
n01491361,a bad photo of  a tiger shark.,tiger shark,4,3,1
n01494475,a bad photo of  a hammerhead shark.,hammerhead shark,4,4,1
n01496331,a bad photo of  a electric ray.,electric ray,4,5,1
n01498041,a bad photo of  a stingray.,stingray,4,6,1
n01514668,a bad photo of  a rooster.,rooster,4,7,1
n01514859,a bad photo of  a hen.,hen,4,8,1
n01518878,a bad photo of  a ostrich.,ostrich,4,9,1
n01530575,a bad photo of  a brambling.,brambling,4,10,1
n01531178,a bad photo of  a goldfinch.,goldfinch,4,11,1
n01532829,a bad photo of  a house finch.,house finch,4,12,1
n01534433,a bad photo of  a junco.,junco,4,13,1
n01537544,a bad photo of  a indigo bunting.,indigo bunting,4,14,1
n01558993,a bad photo of  a American robin.,American robin,4,15,1
n01560419,a bad photo of  a bulbul.,bulbul,4,16,1
n01580077,a bad photo of  a jay.,jay,4,17,1
n01582220,a bad photo of  a magpie.,magpie,4,18,1
n01592084,a bad photo of  a chickadee.,chickadee,4,19,1
n01601694,a bad photo of  a American dipper.,American dipper,4,20,1
n01608432,a bad photo of  a kite (bird of prey).,kite (bird of prey),4,21,1
