index,node,prompt,class_name,is_leaf,classidx
0,n00021939,a bad photo of a non-living thing.,non-living thing,0,99999
1,n00004258,a bad photo of a living thing.,living thing,0,99999
2,dummy63,a bad photo of a artifact.,artifact,0,99999
3,n03100490,a bad photo of a conveyance.,conveyance,0,99999
4,n00015388,a bad photo of a animal.,animal,0,99999
5,dummy44,a bad photo of a structure.,structure,0,99999
6,dummy65,a bad photo of a person.,person,0,99999
7,n00021265,a bad photo of a food.,food,0,99999
8,n07565083,a bad photo of a menu.,menu,1,922
9,n00017222,a bad photo of a plant.,plant,0,99999
10,n03405265,a bad photo of a furnishing.,furnishing,0,99999
11,dummy21,a bad photo of a fungus.,fungus,0,99999
12,n09229709,a bad photo of a bubble.,bubble,1,971
13,n01905661,a bad photo of a invertebrate.,invertebrate,0,99999
14,n04576211,a bad photo of a wheeled vehicle.,wheeled vehicle,0,99999
15,n07570720,a bad photo of a cooked food.,cooked food,0,99999
16,dummy654,a bad photo of a  disk., disk,0,99999
17,dummy103,a bad photo of a book.,book,0,99999
18,n09287968,a bad photo of a geological formation.,geological formation,0,99999
19,dummy66,a bad photo of a person.,person,0,99999
20,n07881800,a bad photo of a beverage.,beverage,0,99999
21,dummy38,a bad photo of a soft furnishings.,soft furnishings,0,99999
22,n03125870,a bad photo of a craft.,craft,0,99999
23,dummy105,a bad photo of a  fabric., fabric,0,99999
24,n04341686,a bad photo of a man-made structure.,man-made structure,0,99999
25,dummy54,a bad photo of a sled.,sled,0,99999
26,n03574816,a bad photo of a instrument.,instrument,0,99999
27,n03530642,a bad photo of a  honeycomb., honeycomb,1,599
28,n03065424,a bad photo of a spiral or coil.,spiral or coil,1,506
29,n12992868,a bad photo of a fungus.,fungus,0,99999
30,dummy125,a bad photo of a plaything.,plaything,0,99999
31,n02729837,a bad photo of a appliance.,appliance,0,99999
32,n13083586,a bad photo of a vascular plant.,vascular plant,0,99999
33,n03294048,a bad photo of a equipment.,equipment,0,99999
34,n07705711,a bad photo of a produce.,produce,0,99999
35,n01466257,a bad photo of a chordate.,chordate,0,99999
36,n02699494,a bad photo of a altar.,altar,1,406
37,n04336792,a bad photo of a stretcher.,stretcher,1,830
38,n07800740,a bad photo of a fodder.,fodder,0,99999
39,n03405725,a bad photo of a furniture.,furniture,0,99999
40,n01861778,a bad photo of a mammal.,mammal,0,99999
41,n03133748,a bad photo of a covering.,covering,0,99999
42,n03873064,a bad photo of a padding.,padding,0,99999
43,n03051540,a bad photo of a clothing.,clothing,0,99999
44,n02796623,a bad photo of a barrier.,barrier,0,99999
45,n01886756,a bad photo of a eutherian mammal.,eutherian mammal,0,99999
46,n09366017,a bad photo of a natural depression.,natural depression,0,99999
47,n04371774,a bad photo of a swing.,swing,1,843
48,dummy130,a bad photo of a implement.,implement,0,99999
49,n02898711,a bad photo of a bridge.,bridge,0,99999
50,n01871265,a bad photo of a tusker.,tusker,1,101
51,dummy19,a bad photo of a ascomycete.,ascomycete,0,99999
52,n07860988,a bad photo of a dough.,dough,1,961
53,n02686568,a bad photo of a aircraft.,aircraft,0,99999
54,n09406793,a bad photo of a reef.,reef,0,99999
55,n02970849,a bad photo of a cart.,cart,0,99999
56,n13134947,a bad photo of a fruit.,fruit,0,99999
57,n03621049,a bad photo of a kitchen utensil.,kitchen utensil,0,99999
58,n01874434,a bad photo of a marsupial.,marsupial,0,99999
59,n04077734,a bad photo of a rescue equipment.,rescue equipment,0,99999
60,n02954938,a bad photo of a cap.,cap,0,99999
61,n03743902,a bad photo of a memorial.,memorial,0,99999
62,n03575691,a bad photo of a execution instrument.,execution instrument,0,99999
63,n07622061,a bad photo of a baked goods.,baked goods,0,99999
64,n03074380,a bad photo of a column.,column,0,99999
65,n01909422,a bad photo of a coelenterate.,coelenterate,0,99999
66,n01767661,a bad photo of a anthropod.,anthropod,0,99999
67,n04579432,a bad photo of a whistle.,whistle,1,902
68,n04019541,a bad photo of a hockey puck.,hockey puck,1,746
69,dummy660,a bad photo of a connection.,connection,0,99999
70,n02821943,a bad photo of a bedroom furniture.,bedroom furniture,0,99999
71,n01471682,a bad photo of a vertebrate.,vertebrate,0,99999
72,n04285146,a bad photo of a sports equipment.,sports equipment,0,99999
73,n03151077,a bad photo of a curtain.,curtain,0,99999
74,n03528263,a bad photo of a home appliance.,home appliance,0,99999
75,n03388043,a bad photo of a fountain.,fountain,1,562
76,n02913152,a bad photo of a building.,building,0,99999
77,n09246464,a bad photo of a cliff.,cliff,1,972
78,n07707451,a bad photo of a vegetable.,vegetable,0,99999
79,n09359803,a bad photo of a mountain.,mountain,0,99999
80,n04191595,a bad photo of a shelter.,shelter,0,99999
81,dummy99,a bad photo of a device.,device,0,99999
82,n03717622,a bad photo of a manhole cover.,manhole cover,1,640
83,n04530566,a bad photo of a vessel.,vessel,0,99999
84,n04565375,a bad photo of a weapon.,weapon,0,99999
85,n04599235,a bad photo of a  wool., wool,1,911
86,n03366823,a bad photo of a floor cover.,floor cover,0,99999
87,n07810907,a bad photo of a condiment.,condiment,0,99999
88,n09366317,a bad photo of a natural elevation.,natural elevation,0,99999
89,n04217882,a bad photo of a signboard.,signboard,0,99999
90,dummy773,a bad photo of a  support structure., support structure,0,99999
91,n03739693,a bad photo of a medical instrument.,medical instrument,0,99999
92,n04379243,a bad photo of a table.,table,0,99999
93,n01940736,a bad photo of a mollusk.,mollusk,0,99999
94,n12997654,a bad photo of a basidiomycete.,basidiomycete,0,99999
95,n03251766,a bad photo of a dryer.,dryer,0,99999
96,n04525038,a bad photo of a velvet fabric.,velvet fabric,1,885
97,n04151581,a bad photo of a screen.,screen,0,99999
98,n02820210,a bad photo of a bedclothes.,bedclothes,0,99999
99,n04161981,a bad photo of a seat.,seat,0,99999
100,n04235291,a bad photo of a sled.,sled,0,99999
101,n09443453,a bad photo of a spring.,spring,0,99999
102,n03791235,a bad photo of a motor vehicle.,motor vehicle,0,99999
103,n07884567,a bad photo of a alcohol.,alcohol,0,99999
104,n02735688,a bad photo of a area.,area,0,99999
105,n00007846,a bad photo of a person.,person,0,99999
106,n09214060,a bad photo of a bar.,bar,0,99999
107,n04264914,a bad photo of a spacecraft.,spacecraft,0,99999
108,n02316707,a bad photo of a echinoderm.,echinoderm,0,99999
109,n04091097,a bad photo of a rig.,rig,0,99999
110,n01871875,a bad photo of a monotreme.,monotreme,0,99999
111,n04388743,a bad photo of a tank.,tank,0,99999
112,n04014297,a bad photo of a protective covering.,protective covering,0,99999
113,n07929519,a bad photo of a coffee.,coffee,0,99999
114,n03800933,a bad photo of a musical instrument.,musical instrument,0,99999
115,n04549122,a bad photo of a wall unit.,wall unit,0,99999
116,n04468005,a bad photo of a train.,train,0,99999
117,n09433442,a bad photo of a shore.,shore,0,99999
