node,prompt,classname,level,classidx,isleaf
n00004258,a photo of a living thing.,living thing,0,999999,0
n00021939,a photo of a non-living thing.,non-living thing,0,999999,0
n00015388,a photo of a animal.,animal,1,999999,0
dummy65,a photo of a person.,person,1,999999,0
dummy21,a photo of a fungus.,fungus,1,999999,0
n00017222,a photo of a plant.,plant,1,999999,0
n03051540,a photo of a apparel.,apparel,1,999999,0
n00021265,a photo of a food.,food,1,999999,0
n03100490,a photo of a conveyance.,conveyance,1,999999,0
dummy63,a photo of a paraphernalia.,paraphernalia,1,999999,0
n03405265,a photo of a furnishing.,furnishing,1,999999,0
dummy44,a photo of a structure.,structure,1,999999,0
n01767661,a photo of a arthropod.,arthropod,2,999999,0
n01940736,a photo of a mollusk.,mollusk,2,999999,0
n01503061,a photo of a bird.,bird,2,999999,0
n01909422,a photo of a coelenterate.,coelenterate,2,999999,0
n01861778,a photo of a mammal.,mammal,2,999999,0
n02512053,a photo of a fish.,fish,2,999999,0
n02316707,a photo of a echinoderm.,echinoderm,2,999999,0
n01922303,a photo of a worm.,worm,2,999999,0
n01661091,a photo of a reptile.,reptile,2,999999,0
n01627424,a photo of a amphibian.,amphibian,2,999999,0
dummy66,a photo of a person.,person,2,999999,0
n12992868,a photo of a fungus.,fungus,2,999999,0
n13083586,a photo of a vascular plant.,vascular plant,2,999999,0
n02671780,a photo of a accessory.,accessory,2,999999,0
dummy32,a photo of a garment.,garment,2,999999,0
n04447443,a photo of a toiletry.,toiletry,2,999999,0
n07705711,a photo of a produce.,produce,2,999999,0
n07570720,a photo of a cooked food.,cooked food,2,999999,0
n07881800,a photo of a beverage.,beverage,2,999999,0
dummy54,a photo of a sled.,sled,2,999999,0
n03125870,a photo of a craft.,craft,2,999999,0
n04576211,a photo of a wheeled vehicle.,wheeled vehicle,2,999999,0
n02729837,a photo of a appliance.,appliance,2,999999,0
n03294048,a photo of a equipment.,equipment,2,999999,0
n03574816,a photo of a instrument.,instrument,2,999999,0
dummy38,a photo of a soft furnishings.,soft furnishings,2,999999,0
n03405725,a photo of a furniture.,furniture,2,999999,0
n04341686,a photo of a man-made structure.,man-made structure,2,999999,0
n09287968,a photo of a geological formation.,geological formation,2,999999,0
n02159955,a photo of a insect.,insect,3,999999,0
n01974773,a photo of a crustacean.,crustacean,3,999999,0
n01769347,a photo of a arachnid.,arachnid,3,999999,0
n01942177,a photo of a gastropod.,gastropod,3,999999,0
n01825930,a photo of a coraciiform bird.,coraciiform bird,3,999999,0
n01604330,a photo of a bird of prey.,bird of prey,3,999999,0
n01838038,a photo of a piciform bird.,piciform bird,3,999999,0
n01844917,a photo of a aquatic bird.,aquatic bird,3,999999,0
n01524359,a photo of a passerine.,passerine,3,999999,0
n01789386,a photo of a gallinaceous bird.,gallinaceous bird,3,999999,0
dummy6,a photo of a dummy6.,dummy6,3,999999,0
