root,prompt,classname,classidx
n00004258,a photo of a living thing.,living thing,9999
n00021939,a photo of a non-living thing.,non-living thing,9999
n00015388,a photo of a animal.,animal,9999
dummy65,a photo of a person.,person,9999
dummy21,a photo of a fungus.,fungus,9999
n00017222,a photo of a plant.,plant,9999
dummy44,a photo of a structure.,structure,9999
n03051540,a photo of a apparel.,apparel,9999
n03100490,a photo of a conveyance.,conveyance,9999
n00021265,a photo of a food.,food,9999
dummy63,a photo of a paraphernalia.,paraphernalia,9999
n03405265,a photo of a furnishing.,furnishing,9999
n01940736,a photo of a mollusk.,mollusk,9999
n01767661,a photo of a arthropod.,arthropod,9999
n01922303,a photo of a worm.,worm,9999
n02512053,a photo of a fish.,fish,9999
n01861778,a photo of a mammal.,mammal,9999
n01503061,a photo of a bird.,bird,9999
n01909422,a photo of a coelenterate.,coelenterate,9999
n02316707,a photo of a echinoderm.,echinoderm,9999
n01661091,a photo of a reptile.,reptile,9999
n01627424,a photo of a amphibian.,amphibian,9999
dummy66,a photo of a person.,person,9999
n12992868,a photo of a fungus.,fungus,9999
n13083586,a photo of a vascular plant.,vascular plant,9999
n04341686,a photo of a man-made structure.,man-made structure,9999
n09287968,a photo of a geological formation.,geological formation,9999
dummy32,a photo of a garment.,garment,9999
n04447443,a photo of a toiletry.,toiletry,9999
n02671780,a photo of a accessory.,accessory,9999
dummy54,a photo of a sled.,sled,9999
n03125870,a photo of a craft.,craft,9999
n04576211,a photo of a wheeled vehicle.,wheeled vehicle,9999
n07705711,a photo of a produce.,produce,9999
n07570720,a photo of a cooked food.,cooked food,9999
n07881800,a photo of a beverage.,beverage,9999
n02729837,a photo of a appliance.,appliance,9999
n03294048,a photo of a equipment.,equipment,9999
n03574816,a photo of a instrument.,instrument,9999
dummy38,a photo of a soft furnishings.,soft furnishings,9999
n03405725,a photo of a furniture.,furniture,9999
n01955084,a photo of a chiton.,chiton,116
n01942177,a photo of a gastropod.,gastropod,9999
n01968315,a photo of a cephalopod.,cephalopod,9999
n01768244,a photo of a trilobite.,trilobite,69
n01784675,a photo of a centipede.,centipede,79
n01974773,a photo of a crustacean.,crustacean,9999
n01769347,a photo of a arachnid.,arachnid,9999
n02159955,a photo of a insect.,insect,9999
dummy14,a photo of a dummy14.,dummy14,9999
dummy15,a photo of a dummy15.,dummy15,9999
n02514825,a photo of a bony fish.,bony fish,9999
n01480516,a photo of a cartilaginous fish.,cartilaginous fish,9999
n02323449,a photo of a lagomorph.,lagomorph,9999
n02453611,a photo of a edentate.,edentate,9999
n02370806,a photo of a ungulate.,ungulate,9999
n02329401,a photo of a rodent.,rodent,9999
n01871875,a photo of a monotreme.,monotreme,9999
n02075296,a photo of a carnivore.,carnivore,9999
n01874434,a photo of a marsupial.,marsupial,9999
n02469914,a photo of a primate.,primate,9999
n02062017,a photo of a aquatic mammal.,aquatic mammal,9999
n02503127,a photo of a proboscidean.,proboscidean,9999
n01517565,a photo of a ratite.,ratite,9999
n01838038,a photo of a piciform bird.,piciform bird,9999
dummy1,a photo of a dummy1.,dummy1,9999
n01825930,a photo of a coraciiform bird.,coraciiform bird,9999
n01604330,a photo of a bird of prey.,bird of prey,9999
dummy0,a photo of a dummy0.,dummy0,9999
n01524359,a photo of a passerine.,passerine,9999
n01844917,a photo of a aquatic bird.,aquatic bird,9999
n01831712,a photo of a apodiform bird.,apodiform bird,9999
n01789386,a photo of a gallinaceous bird.,gallinaceous bird,9999
dummy6,a photo of a dummy6.,dummy6,9999
n01822602,a photo of a cuculiform bird.,cuculiform bird,9999
dummy10,a photo of a dummy10.,dummy10,9999
n01914163,a photo of a anthozoan.,anthozoan,9999
dummy11,a photo of a dummy11.,dummy11,9999
dummy13,a photo of a dummy13.,dummy13,9999
dummy12,a photo of a dummy12.,dummy12,9999
dummy9,a photo of a serpentes.,serpentes,9999
n01662622,a photo of a chelonian.,chelonian,9999
n01696633,a photo of a crocodilian reptile.,crocodilian reptile,9999
n01674216,a photo of a saurian.,saurian,9999
n01695681,a photo of a archosaur.,archosaur,9999
dummy7,a photo of a dummy7.,dummy7,9999
dummy8,a photo of a dummy8.,dummy8,9999
n00007846,a photo of a person.,person,9999
dummy19,a photo of a ascomycete.,ascomycete,9999
n12997654,a photo of a basidiomycete.,basidiomycete,9999
n11669921,a photo of a flower.,flower,9999
n02796623,a photo of a barrier.,barrier,9999
dummy67,a photo of a dummy67.,dummy67,9999
n02735688,a photo of a area.,area,9999
n04091097,a photo of a rig.,rig,9999
dummy74,a photo of a dummy74.,dummy74,9999
n03638321,a photo of a landing.,landing,9999
dummy77,a photo of a dummy77.,dummy77,9999
n04388743,a photo of a tank.,tank,9999
dummy78,a photo of a dummy78.,dummy78,9999
n02913152,a photo of a building.,building,9999
dummy72,a photo of a dummy72.,dummy72,9999
dummy73,a photo of a dummy73.,dummy73,9999
dummy68,a photo of a dummy68.,dummy68,9999
n09443453,a photo of a spring.,spring,9999
n09406793,a photo of a reef.,reef,9999
n09214060,a photo of a bar.,bar,9999
n09433442,a photo of a shore.,shore,9999
dummy69,a photo of a dummy69.,dummy69,9999
dummy71,a photo of a dummy71.,dummy71,9999
n09359803,a photo of a mountain.,mountain,9999
n03419014,a photo of a garment.,garment,9999
n03113152,a photo of a cosmetic.,cosmetic,9999
n02785648,a photo of a bandage.,bandage,9999
dummy51,a photo of a dummy51.,dummy51,9999
dummy57,a photo of a dummy57.,dummy57,9999
n03381126,a photo of a footwear.,footwear,9999
n03816005,a photo of a neckwear.,neckwear,9999
dummy53,a photo of a dummy53.,dummy53,9999
dummy50,a photo of a dummy50.,dummy50,9999
dummy34,a photo of a facial accessories.,facial accessories,9999
n03490324,a photo of a handwear.,handwear,9999
dummy35,a photo of a armor.,armor,9999
n03502509,a photo of a headdress.,headdress,9999
dummy39,a photo of a dummy39.,dummy39,9999
dummy52,a photo of a bag.,bag,9999
n04235291,a photo of a sled.,sled,9999
n04264914,a photo of a spacecraft.,spacecraft,9999
n04530566,a photo of a vessel.,vessel,9999
n02686568,a photo of a aircraft.,aircraft,9999
n02970849,a photo of a cart.,cart,9999
n04464852,a photo of a tracked vehicle.,tracked vehicle,9999
dummy30,a photo of a cycles.,cycles,9999
n04468005,a photo of a train.,train,9999
n03791235,a photo of a motor vehicle.,motor vehicle,9999
n13134947,a photo of a fruit.,fruit,9999
n07707451,a photo of a vegetable.,vegetable,9999
n07557434,a photo of a dish.,dish,9999
n07810907,a photo of a condiment.,condiment,9999
n07622061,a photo of a baked goods.,baked goods,9999
n07609840,a photo of a dessert.,dessert,9999
n07929519,a photo of a coffee.,coffee,9999
n07884567,a photo of a alcohol.,alcohol,9999
n03528263,a photo of a home appliance.,home appliance,9999
n03251766,a photo of a dryer.,dryer,9999
n04285146,a photo of a sports equipment.,sports equipment,9999
n03926148,a photo of a photographic equipment.,photographic equipment,9999
n03278248,a photo of a electronic equipment.,electronic equipment,9999
n03733925,a photo of a measuring instrument.,measuring instrument,9999
n03739693,a photo of a medical instrument.,medical instrument,9999
n04147495,a photo of a scientific instrument.,scientific instrument,9999
n03621049,a photo of a kitchen utensil.,kitchen utensil,9999
n04565375,a photo of a weapon.,weapon,9999
n04451818,a photo of a tool.,tool,9999
n04381994,a photo of a tableware.,tableware,9999
n03800933,a photo of a musical instrument.,musical instrument,9999
n03636649,a photo of a lamp.,lamp,9999
n02820210,a photo of a bedclothes.,bedclothes,9999
n03932670,a photo of a piece of cloth.,piece of cloth,9999
n03366823,a photo of a floor cover.,floor cover,9999
n03873064,a photo of a padding.,padding,9999
dummy56,a photo of a dummy56.,dummy56,9999
n04151581,a photo of a screen.,screen,9999
n04549122,a photo of a wall unit.,wall unit,9999
n03221720,a photo of a door.,door,9999
n04379243,a photo of a table.,table,9999
n04161981,a photo of a seat.,seat,9999
dummy79,a photo of a dummy79.,dummy79,9999
n02821943,a photo of a bedroom furniture.,bedroom furniture,9999
n01943899,a photo of a conch.,conch,112
n01944390,a photo of a snail.,snail,113
n01945685,a photo of a slug.,slug,114
n01950731,a photo of a sea slug.,sea slug,115
n01968897,a photo of a chambered nautilus.,chambered nautilus,117
n01985128,a photo of a crayfish.,crayfish,124
n01986214,a photo of a hermit crab.,hermit crab,125
n01990800,a photo of a isopod.,isopod,126
n01982650,a photo of a lobster.,lobster,9999
n01976957,a photo of a crab.,crab,9999
n01770081,a photo of a harvestman.,harvestman,70
n01770393,a photo of a scorpion.,scorpion,71
n01772222,a photo of a spider.,spider,9999
n01776192,a photo of a acarine.,acarine,9999
n02190166,a photo of a fly.,fly,308
n02206856,a photo of a bee.,bee,309
n02219486,a photo of a ant.,ant,310
n02226429,a photo of a grasshopper.,grasshopper,311
n02229544,a photo of a cricket.,cricket,312
n02231487,a photo of a walking stick.,walking stick,313
n02233338,a photo of a cockroach.,cockroach,314
n02236044,a photo of a mantis.,mantis,315
n02256656,a photo of a cicada.,cicada,316
n02259212,a photo of a leafhopper.,leafhopper,317
n02264363,a photo of a lacewing.,lacewing,318
n02268443,a photo of a dragonfly.,dragonfly,319
n02268853,a photo of a damselfly.,damselfly,320
n02274259,a photo of a butterfly.,butterfly,9999
n02164464,a photo of a beetle.,beetle,9999
n01924916,a photo of a flatworm.,flatworm,110
n01930112,a photo of a nematode.,nematode,111
n01440764,a photo of a tench.,tench,0
n01443537,a photo of a goldfish.,goldfish,1
n02514041,a photo of a barracouta.,barracouta,389
n02526121,a photo of a eel.,eel,390
n02640242,a photo of a sturgeon.,sturgeon,394
n02641379,a photo of a gar.,gar,395
n02655020,a photo of a puffer.,puffer,397
n02606384,a photo of a damselfish.,damselfish,9999
n02605316,a photo of a butterfly fish.,butterfly fish,9999
n02534734,a photo of a salmon.,salmon,9999
n02642644,a photo of a scorpaenid.,scorpaenid,9999
n01482330,a photo of a shark.,shark,9999
n01495701,a photo of a ray.,ray,9999
n02326432,a photo of a hare.,hare,331
n02324045,a photo of a rabbit.,rabbit,9999
n02454379,a photo of a armadillo.,armadillo,363
n02456962,a photo of a sloth.,sloth,9999
n02391049,a photo of a zebra.,zebra,340
n02395406,a photo of a hog.,hog,341
n02396427,a photo of a wild boar.,wild boar,342
n02397096,a photo of a warthog.,warthog,343
n02398521,a photo of a hippopotamus.,hippopotamus,344
n02410509,a photo of a bison.,bison,347
n02437616,a photo of a llama.,llama,355
n02407959,a photo of a Old World buffalo.,Old World buffalo,9999
n02416519,a photo of a goat.,goat,9999
n02402425,a photo of a cattle.,cattle,9999
n02437136,a photo of a camel.,camel,9999
n02411705,a photo of a sheep.,sheep,9999
n02419796,a photo of a antelope.,antelope,9999
n02374451,a photo of a horse.,horse,9999
n02414578,a photo of a wild sheep.,wild sheep,9999
n02342885,a photo of a hamster.,hamster,333
n02346627,a photo of a porcupine.,porcupine,334
n02361337,a photo of a marmot.,marmot,336
n02363005,a photo of a beaver.,beaver,337
n02364673,a photo of a guinea pig.,guinea pig,338
n02355227,a photo of a squirrel.,squirrel,9999
n01872401,a photo of a echidna.,echidna,102
n01873310,a photo of a platypus.,platypus,103
n02117135,a photo of a hyena.,hyena,276
n02125311,a photo of a cougar.,cougar,286
n02127052,a photo of a lynx.,lynx,287
n02128385,a photo of a leopard.,leopard,288
n02128757,a photo of a snow leopard.,snow leopard,289
n02128925,a photo of a jaguar.,jaguar,290
n02129165,a photo of a lion.,lion,291
n02129604,a photo of a tiger.,tiger,292
n02130308,a photo of a cheetah.,cheetah,293
n02137549,a photo of a mongoose.,mongoose,298
n02138441,a photo of a meerkat.,meerkat,299
n02441942,a photo of a weasel.,weasel,356
n02442845,a photo of a mink.,mink,357
n02443114,a photo of a polecat.,polecat,358
n02443484,a photo of a black-footed ferret.,black-footed ferret,359
n02444819,a photo of a otter.,otter,360
n02445715,a photo of a skunk.,skunk,361
n02447366,a photo of a badger.,badger,362
n02509815,a photo of a lesser panda.,lesser panda,387
n02510455,a photo of a giant panda.,giant panda,388
n02084071,a photo of a dog.,dog,9999
n02131653,a photo of a bear.,bear,9999
n02118333,a photo of a fox.,fox,9999
n02115335,a photo of a wild dog.,wild dog,9999
n02121808,a photo of a domestic cat.,domestic cat,9999
n02114100,a photo of a wolf.,wolf,9999
n01883070,a photo of a wombat.,wombat,106
n01877134,a photo of a kangaroo.,kangaroo,9999
n01881171,a photo of a phalanger.,phalanger,9999
n02470325,a photo of a ape.,ape,9999
n02496913,a photo of a lemur.,lemur,9999
n02484322,a photo of a monkey.,monkey,9999
n02073250,a photo of a sea cow.,sea cow,9999
n02062744,a photo of a whale.,whale,9999
n02076196,a photo of a seal.,seal,9999
n02503517,a photo of a elephant.,elephant,9999
n01518878,a photo of a ostrich.,ostrich,9
n01843065,a photo of a jacamar.,jacamar,95
n01843383,a photo of a toucan.,toucan,96
n01514859,a photo of a hen.,hen,8
n01828970,a photo of a bee eater.,bee eater,92
n01829413,a photo of a hornbill.,hornbill,93
n01616318,a photo of a vulture.,vulture,23
n01621127,a photo of a owl.,owl,9999
n01613294,a photo of a eagle.,eagle,9999
n01605630,a photo of a hawk.,hawk,9999
n01514668,a photo of a cock.,cock,7
n01530575,a photo of a brambling.,brambling,10
n01531178,a photo of a goldfinch.,goldfinch,11
n01532829,a photo of a house finch.,house finch,12
n01534433,a photo of a junco.,junco,13
n01537544,a photo of a indigo bunting.,indigo bunting,14
n01558993,a photo of a robin.,robin,15
n01580077,a photo of a jay.,jay,17
n01582220,a photo of a magpie.,magpie,18
n01601694,a photo of a water ouzel.,water ouzel,20
n01591697,a photo of a titmouse.,titmouse,9999
n01560105,a photo of a nightingale.,nightingale,9999
n01855672,a photo of a goose.,goose,99
n02006656,a photo of a spoonbill.,spoonbill,129
n02007558,a photo of a flamingo.,flamingo,130
n02012849,a photo of a crane.,crane,134
n02013706,a photo of a limpkin.,limpkin,135
n02018795,a photo of a bustard.,bustard,138
n02037110,a photo of a oystercatcher.,oystercatcher,143
n02051845,a photo of a pelican.,pelican,144
n02058221,a photo of a albatross.,albatross,146
n01846331,a photo of a duck.,duck,9999
n02002075,a photo of a stork.,stork,9999
n02055803,a photo of a penguin.,penguin,9999
n02031934,a photo of a snipe.,snipe,9999
n02008041,a photo of a heron.,heron,9999
n01858441,a photo of a swan.,swan,9999
n02023341,a photo of a plover.,plover,9999
n02026059,a photo of a sandpiper.,sandpiper,9999
n02016358,a photo of a gallinule.,gallinule,9999
n02014941,a photo of a rail.,rail,9999
n01833805,a photo of a hummingbird.,hummingbird,94
n01795088,a photo of a grouse.,grouse,9999
n01802721,a photo of a phasianid.,phasianid,9999
n01816887,a photo of a parrot.,parrot,9999
n01823013,a photo of a cuckoo.,cuckoo,9999
n01910747,a photo of a jellyfish.,jellyfish,107
n01914609,a photo of a sea anemone.,sea anemone,108
n01915811,a photo of a coral.,coral,9999
n02317335,a photo of a starfish.,starfish,327
n02319095,a photo of a sea urchin.,sea urchin,328
n02321529,a photo of a sea cucumber.,sea cucumber,329
n01726692,a photo of a snake.,snake,9999
n01662784,a photo of a turtle.,turtle,9999
n01697178,a photo of a crocodile.,crocodile,9999
n01698434,a photo of a alligator.,alligator,9999
n01674464,a photo of a lizard.,lizard,9999
n01699831,a photo of a dinosaur.,dinosaur,9999
n01639765,a photo of a frog.,frog,9999
n01629276,a photo of a salamander.,salamander,9999
n09835506,a photo of a ballplayer.,ballplayer,981
n10148035,a photo of a groom.,groom,982
n10565667,a photo of a scuba diver.,scuba diver,983
n13037406,a photo of a gyromitra.,gyromitra,993
n12985857,a photo of a coral fungus.,coral fungus,991
n13040303,a photo of a stinkhorn.,stinkhorn,994
n13044778,a photo of a earthstar.,earthstar,995
dummy20,a photo of a mushroom.,mushroom,9999
n11939491,a photo of a daisy.,daisy,985
n12041446,a photo of a orchid.,orchid,9999
n02788148,a photo of a bannister.,bannister,421
n02894605,a photo of a breakwater.,breakwater,460
n03160309,a photo of a dam.,dam,525
n03327234,a photo of a fence.,fence,9999
n03427296,a photo of a gate.,gate,9999
n03388043,a photo of a fountain.,fountain,562
n02825657,a photo of a bell cote.,bell cote,442
n03899768,a photo of a patio.,patio,706
n04296562,a photo of a stage.,stage,819
n04105068,a photo of a roof.,roof,9999
n03240683,a photo of a drilling platform.,drilling platform,540
n03733281,a photo of a maze.,maze,646
n03216828,a photo of a dock.,dock,536
n03743902,a photo of a memorial.,memorial,9999
n04078574,a photo of a reservoir.,reservoir,9999
n03074380,a photo of a column.,column,9999
n04417809,a photo of a theater.,theater,9999
dummy49,a photo of a dummy49.,dummy49,9999
n03259505,a photo of a dwelling.,dwelling,9999
n03748162,a photo of a mercantile establishment.,mercantile establishment,9999
n03859280,a photo of a outbuilding.,outbuilding,9999
n03953416,a photo of a place of worship.,place of worship,9999
n03316406,a photo of a factory.,factory,9999
dummy46,a photo of a dummy46.,dummy46,9999
n04460130,a photo of a tower.,tower,9999
dummy47,a photo of a dummy47.,dummy47,9999
dummy45,a photo of a dummy45.,dummy45,9999
n04217882,a photo of a signboard.,signboard,9999
n02898711,a photo of a bridge.,bridge,9999
n09246464,a photo of a cliff.,cliff,972
n09288635,a photo of a geyser.,geyser,974
n09256479,a photo of a coral reef.,coral reef,973
n09421951,a photo of a sandbar.,sandbar,977
n09332890,a photo of a lakeside.,lakeside,975
n09428293,a photo of a seashore.,seashore,978
n09399592,a photo of a promontory.,promontory,976
n09468604,a photo of a valley.,valley,979
n09193705,a photo of a alp.,alp,970
n09472597,a photo of a volcano.,volcano,980
n02730930,a photo of a apron.,apron,411
n03763968,a photo of a military uniform.,military uniform,652
n04350905,a photo of a suit.,suit,834
n03236735,a photo of a dress.,dress,9999
n03825080,a photo of a nightwear.,nightwear,9999
n03057021,a photo of a coat.,coat,9999
n04371563,a photo of a swimsuit.,swimsuit,9999
n04489008,a photo of a trouser.,trouser,9999
n04197391,a photo of a shirt.,shirt,9999
n04370048,a photo of a sweater.,sweater,9999
n04508163,a photo of a undergarment.,undergarment,9999
n04230808,a photo of a skirt.,skirt,9999
n03476991,a photo of a hair spray.,hair spray,585
n03916031,a photo of a perfume.,perfume,711
n03714235,a photo of a makeup.,makeup,9999
n03128519,a photo of a cream.,cream,9999
n02680110,a photo of a adhesive bandage.,adhesive bandage,9999
n03141823,a photo of a crutch.,crutch,523
n04507155,a photo of a umbrella.,umbrella,879
n03047690,a photo of a clog.,clog,502
n03623198,a photo of a knee pad.,knee pad,615
n04254777,a photo of a sock.,sock,806
n04434932,a photo of a tights.,tights,9999
n04323819,a photo of a stocking.,stocking,9999
n04199027,a photo of a shoe.,shoe,9999
n02872752,a photo of a boot.,boot,9999
n02834397,a photo of a bib.,bib,443
