index,node,prompt,class_name,is_leaf,classidx
0,n00021939,a photo of a non-living thing.,non-living thing,0,99999
1,n00004258,a photo of a living thing.,living thing,0,99999
2,n02699494,a photo of a altar.,altar,1,406
3,n02909870,a photo of a bucket.,bucket,1,463
4,n03899768,a photo of a patio or terrace.,patio or terrace,1,706
5,n02729837,a photo of a electric appliance.,electric appliance,0,99999
6,n04597913,a photo of a wooden spoon.,wooden spoon,1,910
7,n00021265,a photo of a food.,food,0,99999
8,n03051540,a photo of a clothing (apparel).,clothing (apparel),0,99999
9,n02773037,a photo of a bag.,bag,0,99999
10,n04579432,a photo of a whistle.,whistle,1,902
11,n03843555,a photo of a oil filter.,oil filter,1,686
12,n02825657,a photo of a bell cote or bell tower.,bell cote or bell tower,1,442
13,n03786901,a photo of a mortar and pestle.,mortar and pestle,1,666
14,n04264628,a photo of a keyboard space bar.,keyboard space bar,1,810
15,n03388043,a photo of a water fountain.,water fountain,1,562
16,dummy677,a photo of a stick.,stick,0,99999
17,n09229709,a photo of a bubble.,bubble,1,971
18,n03794056,a photo of a mouse trap.,mouse trap,1,674
19,n02978881,a photo of a cassette.,cassette,1,481
20,n03804744,a photo of a metal nail.,metal nail,1,677
21,n04553703,a photo of a sink.,sink,1,896
22,n03906997,a photo of a pen.,pen,0,99999
23,n03074380,a photo of a column or pillar.,column or pillar,0,99999
24,n00017222,a photo of a plant life.,plant life,0,99999
25,n02954938,a photo of a cap.,cap,0,99999
26,n03692522,a photo of a jeweler's loupe magnifying glass.,jeweler's loupe magnifying glass,1,633
27,n03976657,a photo of a pole.,pole,1,733
28,n04040759,a photo of a radiator or heating device.,radiator or heating device,1,753
29,n04371774,a photo of a swing.,swing,1,843
30,n02747177,a photo of a trash can.,trash can,1,412
31,n03498962,a photo of a hatchet.,hatchet,1,596
32,dummy700,a photo of a box.,box,0,99999
33,n03682487,a photo of a lock.,lock,0,99999
34,n03658185,a photo of a letter opener.,letter opener,1,623
35,n04081844,a photo of a restraint or belt.,restraint or belt,0,99999
36,n02815834,a photo of a beaker.,beaker,1,438
37,n07802026,a photo of a hay fodder.,hay fodder,1,958
38,n03733281,a photo of a maze (labyrinth).,maze (labyrinth),1,646
39,n04493381,a photo of a hot tub.,hot tub,1,876
40,n02966193,a photo of a carousel.,carousel,1,476
41,n00015388,a photo of a animal.,animal,0,99999
42,n04153751,a photo of a screw.,screw,1,783
43,n07248320,a photo of a book jacket.,book jacket,1,921
44,n03527444,a photo of a gun holster.,gun holster,1,597
45,n02910353,a photo of a buckle.,buckle,1,464
46,n04423845,a photo of a sewing thimble.,sewing thimble,1,855
47,n03991062,a photo of a plant pot.,plant pot,1,738
48,n03739693,a photo of a medical instrument.,medical instrument,0,99999
49,n03908714,a photo of a pencil sharpener.,pencil sharpener,1,710
50,n03405265,a photo of a furnishing.,furnishing,0,99999
51,n04116512,a photo of a rubber pencil eraser.,rubber pencil eraser,1,767
52,n03950228,a photo of a drink pitcher.,drink pitcher,1,725
53,n04127249,a photo of a safety pin.,safety pin,1,772
54,n03476684,a photo of a hair clip.,hair clip,1,584
55,n04565375,a photo of a weapon.,weapon,0,99999
56,n02898711,a photo of a bridge.,bridge,0,99999
57,n03876231,a photo of a paintbrush.,paintbrush,1,696
58,n03627232,a photo of a rope knot.,rope knot,1,616
59,n04019541,a photo of a hockey puck.,hockey puck,1,746
60,n04275548,a photo of a spider web.,spider web,1,815
